store_name,name,address,latitude,longitude,google_place_id
Biga, Biga, Guayaqui 2985, , , ChIJgaYHmR6Bn5URy8ZbXgu56Uw
Asencio Bar, Asencio Bar, Av. Alfredo Arocena 1999, , , ChIJM7fpiTuHn5URSu5dyuGYj2U
Urban Haus, Urban Haus Arocena, Pedro Domingo Murillo 6566, , , ChIJJapruXyHn5URsTeTHJnc5YM
Urban Haus, Urban Haus Portones Shopping, Av Italia 5775, , , ChIJ45Vl9O-Gn5URc6-QJtDpaFo
Urban Haus, Urban Haus Montevideo Shopping, Av. Dr. Luis Alberto de Herrera 1290, , , ChIJESISCfyBn5URO0dlkEgFbjQ
Urban Haus, Urban Haus Rambla, Ramón Masini 3445, , , ChIJh75yp2iGn5URvmy1Sgd78nI
Urban Haus, Urban Haus Punta Carretas, José Ellauri 350, , , ChIJi3et4XeBn5URdL41yZvQAfs
Grido, Grido Pocitos, Av. Brasil 2488, , , ChIJ5RyjaoKBn5URnyXdpzqr_KQ
Grido, Grido Aguada, Av. Libertador Lavalleja 2057, , , ChIJn4S-BaKBn5UR_qFzPsqcxQM
Grido, Grido Aires Puros, Av. Millán 3784, , , ChIJo-dNozsroJURDmhBctEVbPk 
Grido, Grido Bella Vista, Av. Agraciada 3075, , , ChIJeQfs0QOAn5URpvTfcUto-UA
Grido, Grido Brazo Oriental, San Martín 3002, , , ChIJyegz2gyAn5URmNTtQegy2No
Grido, Grido Buceo, Av. Rivera 4240, , , ChIJRW5HBACBn5URSsNrlfmWr4E
Grido, Grido Carrasco, Av. Bolivia 2094, , , ChIJ3R-HQ-6Gn5UR6X0do7MuDVU
Grido, Grido Centro, Colonia 1355, , , ChIJ7_YPqsyBn5UR3TIuaYqqdMQ
Grido, Grido Centro, Plaza independencia 817, , , ChIJmcvMPfyBn5URopgyzBfytDg
Grido, Grido Cerro, Grecia 3801, , , ChIJHQTwN4DVoZURIfGjW7em9qg
Grido, Grido Colón, Garzón 1888, , , ChIJX86Ks77UoZURB2uEZGKfces
Grido, Grido Cordón, Colonia 1802, , , ChIJbbqxMWyBn5UR8v7f6YohI44
Grido, Grido La Teja, Carlos Ma. Ramirez 771, , , ChIJd58o_8nVoZURQoRLthqrvss
Grido, Grido Unión, Av. 8 de octubre 3431, , , ChIJ54aUJu6An5URgu9FzHKDNyM
Grido, Grido Unión, Av. 8 de Octubre 4101, , , ChIJpbFruQWBn5URgk0iJBp9LsU
Grido, Grido Larrañaga, Av. Luis Alberto de Herrera 2897, , , ChIJsdkuSfWAn5URwyxgfOoAZ_o
Grido, Grido Maroñas, Camino Carrasco 4731, , , ChIJN9bias2An5URgTj_vAXgPj4
Grido, Grido Mercado Modelo, Gral Flores 3399, , , ChIJ5caKRW6Bn5URwBkYPO6_Mhw
Grido, Grido Parque Batlle, Av Rivera 3428, , , ChIJ2491LvyBn5URK5PZRHrNuQU
Grido, Grido Parque Rodo, Pablo de María 944, , , ChIJ0yid1YuBn5UR122SlC3cRvs
Grido, Grido Paso de la Arena, Luis Battle Berres 6558, , , ChIJE_WsVfbVoZURhEMVaw4JE18
Grido, Grido Paso Molino, Carlos Ma. Ramirez 37, , , ChIJgVK_MmzVoZURcv7cuSx-cqA
Grido, Grido Peñarol, Coronel Raíz 1613, , , ChIJCe5dnisroJURCpscb7nNUfg
Grido, Grido Piedras Blancas, Av. José Belloni 4643, , , ChIJJfWt1dIroJURi6yhrD_Mfx4
Grido, Grido Sayago, Millan 4521, , , ChIJyePfUEbVoZURQJZ5s07MOt4
Grido, Grido Sayago, Ariel 4824, , , ChIJ50VuQUPVoZURLG-3nHmct2g
Grido, Grido Tres Cruces, Presidente Lorenzo Batlle 2495, , , ChIJTY-CQJyBn5URp1tf2-k9xTI
Grido, Grido Unión, Comercio 1910, , , ChIJXzHmxe-Bn5URjzYfjJu6eSY
